,Year,Market_Price,Govt_Balance,Total_Cash_Area,Mature_Area,Avg_Debt
0,1,10.0,1997735.2127499988,188.30200000000002,0.0,0.0
1,2,10.0,1993267.4567499969,203.8095,0.0,0.0
2,3,10.0,1983148.1862499956,212.5232,0.0,0.0
3,4,10.0,1964421.028749994,226.45749999999995,0.0,0.0
4,5,10.0,1942152.7909999918,235.74349999999995,0.0,7.638399999999993
5,6,11.804604710769366,2007182.8767212706,257.48000000000013,180.77149999999997,0.0
6,7,11.516973794688232,2073194.3853873853,266.5829,197.04350000000005,0.0
7,8,11.452103053603782,2136892.9646341493,270.61175000000003,200.7134,0.0
8,9,11.261118034380662,2201792.701356943,276.70500000000004,211.5178999999999,0.0
9,10,11.142208670290334,2261676.5801231423,287.92749999999995,218.24489999999997,0.0
